quotation_id,lead_id,customer_id,quote_date_raw,version_no,quote_date_clean_reference,valid_until,salesperson_id,currency,fx_rate_to_vnd,quotation_status,header_total_vnd
Q000020,L000034,C0086,2025-05-10,1,2025-05-10,2025-05-25,E101,VND,1.0,Rejected,10570000.0
Q000021,L000041,C0022,2025-06-29,1,2025-06-29,2025-08-13,E101,VND,1.0,Revised,20604000.0
Q000022,L000041,C0022,2025-07-02,2,2025-07-02,2025-08-01,E101,VND,1.0,Rejected,45927000.0
Q000023,L000044,C0102,2025-07-09,1,2025-07-09,2025-07-24,E103,VND,1.0,Revised,105497000.0
Q000024,L000044,C0102,2025-07-15,2,2025-07-15,2025-08-14,E103,USD,25304.9075,Accepted,152826000.0
Q000025,L000046,C0005,2025-08-18,1,2025-08-18,2025-09-02,E102,VND,1.0,Revised,32282000.0
Q000026,L000046,C0005,2025-08-23,2,2025-08-23,2025-09-22,E102,VND,1.0,Rejected,40241000.0
Q000027,L000051,C0104,2025-09-18,1,2025-09-18,2025-10-18,E103,VND,1.0,Accepted,9116000.0
Q000028,L000053,C0002,2025-10-09,1,2025-10-09,2025-11-08,E102,VND,1.0,Revised,6761000.0
Q000029,L000053,C0002,2025-10-14,2,2025-10-14,2025-11-13,E102,VND,1.0,Accepted,26039000.0
Q000030,L000058,C0006,2025-10-15,1,2025-10-15,2025-11-14,E102,VND,1.0,Revised,314235000.0
Q000031,L000058,C0006,2025-10-18,2,2025-10-18,2025-11-17,E102,VND,1.0,Expired,196325000.0
Q000032,L000059,C0123,2025-10-18,1,2025-10-18,2025-12-02,E102,VND,1.0,Rejected,6593000.0
Q000033,L000063,C0026,2025-11-02,1,2025-11-02,2025-12-02,E102,VND,1.0,Revised,48299000.0
Q000034,L000063,C0026,2025-11-04,2,2025-11-04,2025-12-04,E102,VND,1.0,Expired,12150000.0
Q000035,L000064,C0014,2025-11-01,1,2025-11-01,2025-12-01,E101,VND,1.0,Revised,18584000.0
Q000036,L000064,C0014,2025-11-07,2,2025-11-07,2025-11-22,E101,VND,1.0,Revised,7287000.0
Q000037,L000064,C0014,2025-11-13,3,2025-11-13,2025-12-28,E101,VND,1.0,Rejected,84428000.0
Q000038,L000079,C0029,2025-12-23,1,2025-12-23,2026-01-22,E101,VND,1.0,Accepted,16011000.0
Q000039,L000080,C0014,2025-12-23,1,2025-12-23,2026-01-22,E102,VND,1.0,Revised,23393000.0
Q000040,L000080,C0014,2025-12-29,2,2025-12-29,2026-01-28,E102,VND,1.0,Rejected,3175000.0
Q000041,L000087,C0102,2026-02-24,1,2026-02-24,2026-03-26,E101,VND,1.0,Revised,14298000.0
Q000042,L000087,C0102,2026-02-26,2,2026-02-26,2026-04-12,E101,VND,1.0,Rejected,10830000.0
Q000043,L000091,C0106,2026-03-09,1,2026-03-09,2026-03-24,E102,VND,1.0,Accepted,61050000.0
Q000044,L000096,C0176,2026-04-03,1,2026-04-03,2026-05-18,E101,USD,25449.6574,Accepted,28379000.0
Q000045,L000100,C0002,2026-04-16,1,2026-04-16,2026-05-16,E103,VND,1.0,Accepted,42813000.0
Q000046,L000102,C0044,2026-05-06,1,2026-05-06,2026-05-21,E103,VND,1.0,Accepted,51435000.0
Q000047,L000104,C0054,2026-05-13,1,2026-05-13,2026-06-12,E103,VND,1.0,Accepted,23770000.0
Q000048,L000106,C0043,2026-05-16,1,2026-05-16,2026-05-31,E101,VND,1.0,Expired,23381000.0
Q000049,L000109,C0103,2026-05-29,1,2026-05-29,2026-06-28,E102,VND,1.0,Accepted,58378000.0
Q000050,L000113,C0075,2026-06-05,1,2026-06-05,2026-06-20,E101,VND,1.0,Revised,6954000.0
Q000051,L000113,C0075,2026-06-09,2,2026-06-09,2026-07-24,E101,VND,1.0,Revised,27266000.0
Q000052,L000113,C0075,2026-06-13,3,2026-06-13,2026-07-28,E101,VND,1.0,Accepted,24431000.0
Q000053,L000114,C0171,2026-06-04,1,2026-06-04,2026-07-04,E102,USD,25575.6444,Accepted,16177000.0
Q000054,L000116,C0024,2026-06-11,1,2026-06-11,2026-07-11,E103,VND,1.0,Accepted,5478000.0
Q000055,L000118,C0031,2026-06-16,1,2026-06-16,2026-07-31,E103,USD,25514.318,Rejected,16513000.0
Q000056,L000120,C0076,2026-07-02,1,2026-07-02,2026-07-17,E103,VND,1.0,Revised,38693000.0
Q000057,L000120,C0076,2026-07-07,2,2026-07-07,2026-08-06,E103,VND,1.0,Rejected,13178000.0
Q000058,L000121,C0097,2025-03-30,1,2025-03-30,2025-04-29,E101,USD,25686.0219,Expired,57343000.0
Q000059,L000123,C0043,2025-04-22,1,2025-04-22,2025-05-07,E102,VND,1.0,Revised,34413000.0
Q000060,L000123,C0043,2025-04-27,2,2025-04-27,2025-05-12,E102,VND,1.0,Revised,36651000.0
Q000061,L000123,C0043,2025-04-28,3,2025-04-28,2025-05-13,E102,VND,1.0,Expired,14589000.0
Q000062,L000124,C0001,23/04/2025,1,2025-04-23,2025-06-07,E103,VND,1.0,Revised,9323000.0
Q000063,L000124,C0001,2025-04-25,2,2025-04-25,2025-05-25,E103,VND,1.0,Rejected,23005000.0
Q000064,L000126,C0054,2025-05-08,1,2025-05-08,2025-06-07,E101,VND,1.0,Expired,20403000.0
Q000065,L000128,C0022,2025-05-13,1,2025-05-13,2025-06-27,E103,VND,1.0,Revised,8750000.0
Q000066,L000128,C0022,2025-05-17,2,2025-05-17,2025-06-01,E103,VND,1.0,Rejected,5140000.0
Q000067,L000129,C0003,2025-05-18,1,2025-05-18,2025-06-17,E103,VND,1.0,Revised,3011000.0
Q000068,L000129,C0003,2025-05-21,2,2025-05-21,2025-06-05,E103,VND,1.0,Accepted,39612000.0
Q000069,L000130,C0043,2025-05-14,1,2025-05-14,2025-06-13,E103,VND,1.0,Revised,31542000.0
Q000070,L000130,C0043,2025-05-18,2,2025-05-18,2025-06-17,E103,VND,1.0,Expired,161269000.0
Q000071,L000131,C0026,2025-05-20,1,2025-05-20,2025-06-19,E101,VND,1.0,Revised,6823000.0
Q000072,L000131,C0026,2025-05-24,2,2025-05-24,2025-06-08,E101,VND,1.0,Accepted,8988000.0
Q000073,L000133,C0115,2025-05-28,1,2025-05-28,2025-06-27,E101,VND,1.0,Revised,20073000.0
Q000074,L000133,C0115,2025-06-01,2,2025-06-01,2025-07-01,E101,VND,1.0,Accepted,46842000.0
Q000075,L000134,C0011,2025-05-28,1,2025-05-28,2025-07-12,E103,VND,1.0,Revised,8059000.0
Q000076,L000134,C0011,2025-06-03,2,2025-06-03,2025-07-03,E103,USD,25591.9359,Expired,38723000.0
Q000077,L000136,C0002,2025-06-10,1,2025-06-10,2025-07-10,E101,VND,1.0,Revised,4752000.0
Q000078,L000136,C0002,2025-06-14,2,2025-06-14,2025-07-14,E101,VND,1.0,Accepted,43835000.0
Q000079,L000138,C0145,2025-06-16,1,2025-06-16,2025-07-16,E101,VND,1.0,Revised,3429000.0
Q000080,L000138,C0145,2025-06-19,2,2025-06-19,2025-07-04,E101,VND,1.0,Accepted,10481000.0
Q000081,L000140,C0001,2025-07-17,1,2025-07-17,2025-08-16,E101,VND,1.0,Expired,11356000.0
Q000082,L000143,C0004,2025-07-27,1,2025-07-27,2025-08-11,E101,VND,1.0,Rejected,20358000.0
Q000083,L000149,,2025-08-12,1,2025-08-12,2025-09-11,E102,VND,1.0,Rejected,6570000.0
Q000084,L000152,C0019,2025-08-15,1,2025-08-15,2025-09-29,E102,VND,1.0,Revised,16993000.0
Q000085,L000152,C0019,2025-08-19,2,2025-08-19,2025-09-18,E102,USD,25239.9171,Accepted,17807000.0
Q000086,L000154,C0081,2025-08-19,1,2025-08-19,2025-09-18,E102,VND,1.0,Revised,13560000.0
Q000087,L000154,C0081,2025-08-25,2,2025-08-25,2025-09-24,E102,VND,1.0,Expired,13095000.0
Q000088,L000156,C0020,2025-09-07,1,2025-09-07,2025-10-07,E102,VND,1.0,Revised,38787000.0
Q000089,L000156,C0020,2025-09-12,2,2025-09-12,2025-10-12,E102,VND,1.0,Rejected,74266000.0
Q000090,L000157,C0039,2025-09-20,1,2025-09-20,2025-10-05,E102,VND,1.0,Accepted,3722000.0
Q000091,L000158,C0050,2025-09-21,1,2025-09-21,2025-10-21,E103,USD,25073.5704,Accepted,20242000.0
Q000092,L000160,C0014,2025-10-03,1,2025-10-03,2025-11-02,E102,VND,1.0,Revised,2056000.0
Q000093,L000160,C0014,2025-10-05,2,2025-10-05,2025-10-20,E102,USD,24994.9598,Accepted,4623000.0
Q000094,L000163,C0051,2025-11-10,1,2025-11-10,2025-12-10,E103,VND,1.0,Rejected,29399000.0
Q000095,L000166,C0028,2025-11-14,1,2025-11-14,2025-11-29,E102,USD,25104.6237,Rejected,2710000.0
Q000096,L000169,C0172,2025-11-24,1,2025-11-24,2025-12-24,E101,VND,1.0,Accepted,35857000.0
Q000097,L000170,C0026,2025-12-03,1,2025-12-03,2026-01-02,E102,USD,25183.368,Revised,44258000.0
Q000098,L000170,C0026,2025-12-08,2,2025-12-08,2026-01-07,E102,VND,1.0,Accepted,9398000.0
Q000099,L000174,C0141,2025-12-29,1,2025-12-29,2026-01-28,E103,USD,25103.5378,Accepted,47974000.0
Q000100,L000176,C0009,2025-12-29,1,2025-12-29,2026-02-12,E102,USD,25103.5378,Expired,13433000.0
Q000101,L000179,C0042,04/01/2026,1,2026-01-04,2026-02-03,E101,VND,1.0,Revised,8224000.0
Q000102,L000179,C0042,2026-01-07,2,2026-01-07,2026-02-06,E101,VND,1.0,Expired,23754000.0
Q000103,L000181,C0054,2026-02-09,1,2026-02-09,2026-03-11,E101,USD,25446.992,Revised,23238000.0
Q000104,L000181,C0054,2026-02-15,2,2026-02-15,2026-03-17,E101,USD,25468.7566,Rejected,7755000.0
Q000105,L000182,C0002,2026-02-09,1,2026-02-09,2026-03-11,E102,VND,1.0,Rejected,8938000.0
Q000106,L000183,C0007,2026-02-14,1,2026-02-14,2026-03-16,E101,VND,1.0,Accepted,19206000.0
Q000107,L000184,C0024,2026-02-15,1,2026-02-15,2026-03-02,E102,VND,1.0,Rejected,10484000.0
Q000108,L000185,C0036,2026-02-22,1,2026-02-22,2026-03-24,E102,VND,1.0,Revised,93273000.0
Q000109,L000185,C0036,2026-02-26,2,2026-02-26,2026-03-28,E102,USD,25405.7934,Rejected,171580000.0
Q000110,L000191,C0040,2026-03-21,1,2026-03-21,2026-05-05,E102,VND,1.0,Accepted,279741000.0
Q000111,L000192,C0150,2026-03-25,1,2026-03-25,2026-04-24,E102,VND,1.0,Expired,30275000.0
Q000112,L000200,C0007,2026-04-13,1,2026-04-13,2026-05-13,E103,VND,1.0,Accepted,15091000.0
Q000113,L000201,C0053,2026-04-21,1,2026-04-21,2026-05-06,E101,VND,1.0,Revised,11821000.0
Q000114,L000201,C0053,2026-04-25,2,2026-04-25,2026-05-25,E101,USD,25462.8258,Accepted,44709000.0
Q000115,L000202,C0042,2026-04-27,1,2026-04-27,2026-05-27,E101,VND,1.0,Rejected,11178000.0
Q000116,L000203,C0123,2026-05-03,1,2026-05-03,2026-06-02,E103,VND,1.0,Accepted,3278000.0
Q000117,L000205,C0003,2026-05-01,1,2026-05-01,2026-05-31,E101,USD,25537.6326,Revised,10384000.0
Q000118,L000205,C0003,2026-05-06,2,2026-05-06,2026-06-05,E101,USD,25507.5691,Accepted,8268000.0
Q000119,L000206,C0045,2026-05-07,1,2026-05-07,2026-05-22,E103,VND,1.0,Revised,64391000.0
Q000120,L000206,C0045,2026-05-09,2,2026-05-09,2026-06-08,E103,USD,25563.5221,Rejected,16978000.0
Q000121,L000213,C0018,21/05/2026,1,2026-05-21,2026-06-20,E101,USD,25570.7925,Accepted,54622000.0
Q000122,L000215,C0002,2026-05-24,1,2026-05-24,2026-06-23,E103,VND,1.0,Revised,22757000.0
Q000123,L000215,C0002,2026-05-29,2,2026-05-29,2026-06-28,E103,VND,1.0,Accepted,28642000.0
Q000124,L000218,C0141,2026-06-04,1,2026-06-04,2026-07-04,E102,VND,1.0,Rejected,90692000.0
Q000125,L000222,C0006,2026-06-28,1,2026-06-28,2026-07-28,E101,VND,1.0,Rejected,666173000.0
Q000126,L000223,C0020,2026-06-27,1,2026-06-27,2026-07-27,E101,VND,1.0,Accepted,25985000.0
Q000127,L000224,C0001,2026-06-30,1,2026-06-30,2026-08-14,E103,VND,1.0,Rejected,96721000.0
Q000128,L000226,C0081,2026-07-10,1,2026-07-10,2026-07-25,E101,USD,25367.0776,Revised,19157000.0
Q000129,L000226,C0081,2026-07-16,2,2026-07-16,2026-08-15,E101,VND,1.0,Accepted,29965000.0
Q000130,L000228,C0010,2026-07-16,1,2026-07-16,2026-08-15,E103,VND,1.0,Expired,67440000.0
Q000131,L000229,C0116,2026-07-16,1,2026-07-16,2026-08-15,E103,VND,1.0,Accepted,5353000.0
Q000132,L000232,C0016,2026-07-24,1,2026-07-24,2026-08-23,E103,VND,1.0,Revised,13314000.0
Q000133,L000232,C0016,2026-07-27,2,2026-07-27,2026-08-26,E103,VND,1.0,Rejected,13608000.0
Q000134,L000236,C0010,2026-08-05,1,2026-08-05,2026-09-19,E103,VND,1.0,Rejected,45782000.0
Q000135,L000239,C0017,2026-08-15,1,2026-08-15,2026-09-14,E102,VND,1.0,Accepted,9553000.0
Q000136,L000240,,2026-08-13,1,2026-08-13,2026-09-12,E102,USD,25461.6865,Rejected,50202000.0
Q000137,L000247,C0007,2025-05-03,1,2025-05-03,2025-05-18,E102,USD,25517.6255,Revised,48135000.0
Q000138,L000247,C0007,2025-05-08,2,2025-05-08,2025-06-07,E102,USD,25547.7009,Accepted,12375000.0
Q000139,L000248,C0115,2025-05-14,1,2025-05-14,2025-06-13,E103,VND,1.0,Accepted,82169000.0
Q000140,L000254,C0009,2025-06-20,1,2025-06-20,2025-07-05,E103,VND,1.0,Accepted,27911000.0
Q000141,L000257,C0002,2025-07-06,1,2025-07-06,2025-07-21,E101,VND,1.0,Accepted,6531000.0
Q000142,L000260,C0060,2025-07-20,1,2025-07-20,2025-08-19,E102,VND,1.0,Revised,75211000.0
Q000143,L000260,C0060,2025-07-22,2,2025-07-22,2025-08-21,E102,VND,1.0,Accepted,31204000.0
Q000144,L000261,C0002,2025-07-28,1,2025-07-28,2025-08-27,E101,VND,1.0,Revised,24304000.0
Q000145,L000261,C0002,2025-07-30,2,2025-07-30,2025-08-29,E101,VND,1.0,Expired,10373000.0
Q000146,L000263,C0050,2025-08-08,1,2025-08-08,2025-09-07,E103,VND,1.0,Revised,22761000.0
Q000147,L000263,C0050,2025-08-11,2,2025-08-11,2025-09-10,E103,VND,1.0,Revised,16750000.0
Q000148,L000263,C0050,2025-08-16,3,2025-08-16,2025-09-15,E103,VND,1.0,Expired,8111000.0
Q000149,L000273,C0005,2025-08-27,1,2025-08-27,2025-09-26,E102,USD,25172.1238,Revised,5490000.0
Q000150,L000273,C0005,2025-08-31,2,2025-08-31,2025-09-30,E102,USD,25171.8228,Revised,5746000.0
Q000151,L000273,C0005,2025-09-06,3,2025-09-06,2025-09-21,E102,VND,1.0,Accepted,58761000.0
Q000152,L000281,C0003,2025-10-12,1,2025-10-12,2025-10-27,E103,USD,24996.5097,Accepted,20025000.0
Q000153,L000282,C0010,2025-10-12,1,2025-10-12,2025-11-11,E101,VND,1.0,Expired,11293000.0
Q000154,L000284,C0005,2025-10-24,1,2025-10-24,2025-11-23,E103,USD,25042.9661,Expired,5385000.0
Q000155,L000286,C0036,2025-11-12,1,2025-11-12,2025-12-12,E101,VND,1.0,Revised,5916000.0
Q000156,L000286,C0036,2025-11-16,2,2025-11-16,2025-12-16,E101,USD,25125.3085,Accepted,40151000.0
Q000157,L000293,C0074,2025-12-16,1,2025-12-16,2025-12-31,E101,VND,1.0,Accepted,15673000.0
Q000158,L000297,C0002,2026-01-03,1,2026-01-03,2026-02-02,E101,USD,25174.289,Expired,91712000.0
Q000159,L000298,C0001,2026-01-15,1,2026-01-15,2026-02-14,E103,USD,25225.9516,Expired,17121000.0
Q000160,L000299,C0035,2026-01-15,1,2026-01-15,2026-02-14,E102,VND,1.0,Expired,14476000.0
Q000161,L000300,C0095,2026-01-17,1,2026-01-17,2026-02-16,E102,VND,1.0,Accepted,63533000.0
Q000162,L000301,C0008,2026-01-24,1,2026-01-24,2026-02-23,E102,VND,1.0,Revised,8394000.0
Q000163,L000301,C0008,2026-01-29,2,2026-01-29,2026-02-28,E102,VND,1.0,Rejected,9461000.0
Q000164,L000302,C0024,2026-01-27,1,2026-01-27,2026-02-26,E101,VND,1.0,Revised,28782000.0
Q000165,L000302,C0024,2026-01-31,2,2026-01-31,2026-03-02,E101,VND,1.0,Expired,4462000.0
Q000166,L000303,C0007,2026-01-28,1,2026-01-28,2026-02-27,E102,USD,25358.3789,Revised,33776000.0
Q000167,L000303,C0007,2026-01-31,2,2026-01-31,2026-02-15,E102,VND,1.0,Rejected,32326000.0
Q000168,L000308,C0050,2026-03-19,1,2026-03-19,2026-04-18,E101,VND,1.0,Revised,27878000.0
Q000169,L000308,C0050,2026-03-25,2,2026-03-25,2026-04-24,E101,USD,25438.3751,Expired,36041000.0
Q000170,L000316,C0016,2026-04-08,1,2026-04-08,2026-04-23,E103,VND,1.0,Rejected,43438000.0
Q000171,L000317,C0129,2026-04-08,1,2026-04-08,2026-05-08,E102,VND,1.0,Revised,5305000.0
Q000172,L000317,C0129,2026-04-11,2,2026-04-11,2026-05-11,E102,USD,25472.4003,Revised,64849000.0
Q000173,L000317,C0129,2026-04-16,3,2026-04-16,2026-05-16,E102,VND,1.0,Expired,17405000.0
Q000174,L000329,C0180,2026-05-22,1,2026-05-22,2026-06-21,E102,VND,1.0,Revised,16664000.0
Q000175,L000329,C0180,2026-05-27,2,2026-05-27,2026-06-26,E102,VND,1.0,Revised,8779000.0
Q000176,L000329,C0180,2026-05-28,3,2026-05-28,2026-07-12,E102,VND,1.0,Rejected,20624000.0
Q000177,L000331,C0008,2026-05-29,1,2026-05-29,2026-07-13,E102,VND,1.0,Rejected,14630000.0
Q000178,L000333,C0004,2026-06-12,1,2026-06-12,2026-07-12,E103,VND,1.0,Rejected,52011000.0
Q000179,L000334,C0070,2026-06-14,1,2026-06-14,2026-06-29,E101,VND,1.0,Revised,12135000.0
Q000180,L000334,C0070,2026-06-20,2,2026-06-20,2026-07-20,E101,VND,1.0,Expired,10915000.0
Q000181,L000336,C0014,2026-06-20,1,2026-06-20,2026-07-05,E101,USD,25471.0503,Accepted,4214000.0
Q000182,L000337,C0013,2026-06-17,1,2026-06-17,2026-07-17,E102,VND,1.0,Accepted,28966000.0
Q000183,L000338,,2026-06-22,1,2026-06-22,2026-08-06,E102,VND,1.0,Accepted,27817000.0
Q000184,L000340,C0047,2026-06-27,1,2026-06-27,2026-07-27,E101,VND,1.0,Rejected,52796000.0
Q000185,L000346,C0009,2025-02-01,1,2025-02-01,2025-03-03,E101,VND,1.0,Accepted,5392000.0
Q000186,L000349,C0002,2025-02-26,1,2025-02-26,2025-04-12,E103,USD,25647.4832,Revised,38752000.0
Q000187,L000349,C0002,2025-03-04,2,2025-03-04,2025-04-03,E103,VND,1.0,Accepted,13908000.0
Q000188,L000351,C0001,2025-02-24,1,2025-02-24,2025-03-11,E101,VND,1.0,Expired,13156000.0
Q000189,L000352,C0002,2025-02-28,1,2025-02-28,2025-04-14,E103,VND,1.0,Accepted,25496000.0
Q000190,L000354,C0004,03-27-2025,1,2025-03-27,2025-04-26,E101,VND,1.0,Revised,41729000.0
Q000191,L000354,C0004,2025-04-01,2,2025-04-01,2025-05-01,E101,VND,1.0,Rejected,13630000.0
Q000192,L000359,C0008,2025-07-03,1,2025-07-03,2025-08-02,E103,VND,1.0,Accepted,137480000.0
Q000193,L000360,C0002,2025-07-23,1,2025-07-23,2025-08-22,E102,USD,25306.4403,Accepted,67518000.0
Q000194,L000363,C0001,2025-08-25,1,2025-08-25,2025-09-24,E101,VND,1.0,Revised,84906000.0
Q000195,L000363,C0001,2025-08-29,2,2025-08-29,2025-09-28,E101,VND,1.0,Accepted,37644000.0
Q000196,L000364,C0011,2025-08-27,1,2025-08-27,2025-09-26,E102,VND,1.0,Rejected,28588000.0
Q000197,L000365,C0001,2025-08-31,1,2025-08-31,2025-09-15,E101,VND,1.0,Accepted,240391000.0
Q000198,L000366,C0001,2025-09-14,1,2025-09-14,2025-10-14,E103,VND,1.0,Accepted,76263000.0
Q000199,L000367,C0006,2025-09-16,1,2025-09-16,2025-10-16,E102,VND,1.0,Rejected,1125000.0
Q000200,L000369,C0108,2025-09-26,1,2025-09-26,2025-10-26,E103,VND,1.0,Accepted,67946000.0
Q000201,L000374,C0010,2025-12-04,1,2025-12-04,2026-01-03,E101,VND,1.0,Revised,11917000.0
Q000202,L000374,C0010,2025-12-08,2,2025-12-08,2026-01-07,E101,VND,1.0,Expired,37560000.0
Q000203,L000379,C0054,2026-03-05,1,2026-03-05,2026-03-20,E103,VND,1.0,Revised,169513000.0
Q000204,L000379,C0054,2026-03-10,2,2026-03-10,2026-04-09,E103,USD,25457.8625,Revised,86652000.0
Q000205,L000379,C0054,2026-03-15,3,2026-03-15,2026-03-30,E103,VND,1.0,Accepted,107422000.0
Q000206,L000380,C0009,2026-03-05,1,2026-03-05,2026-04-04,E101,VND,1.0,Rejected,34727000.0
Q000207,L000381,C0062,2026-03-10,1,2026-03-10,2026-04-09,E103,VND,1.0,Rejected,34902000.0
Q000208,L000384,C0007,2026-03-23,1,2026-03-23,2026-04-22,E101,VND,1.0,Accepted,23275000.0
Q000209,L000385,C0084,2026-03-21,1,2026-03-21,2026-04-20,E102,VND,1.0,Rejected,18786000.0
Q000210,L000386,C0013,2026-04-10,1,2026-04-10,2026-05-10,E102,VND,1.0,Accepted,34194000.0
Q000211,L000387,C0107,2026-04-08,1,2026-04-08,2026-05-08,E102,VND,1.0,Expired,15421000.0
Q000212,L000398,C0007,2026-05-30,1,2026-05-30,2026-07-14,E101,VND,1.0,Rejected,8069000.0
Q000213,L000399,C0057,2026-06-07,1,2026-06-07,2026-07-07,E102,VND,1.0,Accepted,2325000.0
Q000214,L000401,,2026-06-26,1,2026-06-26,2026-07-11,E101,VND,1.0,Accepted,39058000.0
Q000215,L000402,C0007,2026-06-30,1,2026-06-30,2026-08-14,E103,VND,1.0,Rejected,11248000.0
Q000216,L000403,C0038,2026-07-11,1,2026-07-11,2026-08-25,E101,USD,25354.1132,Revised,20496000.0
Q000217,L000403,C0038,2026-07-17,2,2026-07-17,2026-08-16,E101,VND,1.0,Accepted,17977000.0
Q000218,L000404,C0010,2026-07-16,1,2026-07-16,2026-08-15,E103,USD,25361.8811,Revised,56820000.0
Q000219,L000404,C0010,2026-07-18,2,2026-07-18,2026-08-17,E103,USD,25353.5385,Revised,42313000.0
Q000220,L000404,C0010,2026-07-20,3,2026-07-20,2026-08-19,E103,USD,25397.2124,Expired,65471000.0
Q000221,L000409,C0056,2026-08-08,1,2026-08-08,2026-09-07,E103,VND,1.0,Revised,315393000.0
Q000222,L000409,C0056,2026-08-12,2,2026-08-12,2026-09-11,E103,VND,1.0,Accepted,154502000.0
Q000223,L000410,C0026,2026-08-13,1,2026-08-13,2026-08-28,E103,VND,1.0,Revised,5895000.0
Q000224,L000410,C0026,2026-08-18,2,2026-08-18,2026-09-17,E103,VND,1.0,Rejected,41057000.0
Q000225,L000413,C0003,2026-08-21,1,2026-08-21,2026-09-20,E101,USD,25455.7387,Rejected,25260000.0
Q000226,L000414,C0040,2026-09-02,1,2026-09-02,2026-09-17,E101,VND,1.0,Revised,38239000.0
Q000227,L000414,C0040,2026-09-08,2,2026-09-08,2026-10-08,E101,VND,1.0,Expired,25980000.0
Q000228,L000417,C0004,2025-04-02,1,2025-04-02,2025-05-02,E102,VND,1.0,Rejected,40121000.0
Q000229,L000423,C0066,2025-05-05,1,2025-05-05,2025-06-04,E101,VND,1.0,Revised,15368000.0
Q000230,L000423,C0066,2025-05-07,2,2025-05-07,2025-06-06,E101,VND,1.0,Accepted,17707000.0
Q000231,L000428,C0016,2025-06-01,1,2025-06-01,2025-07-01,E101,VND,1.0,Accepted,9532000.0
Q000232,L000430,C0026,2025-06-11,1,2025-06-11,2025-07-11,E103,VND,1.0,Accepted,30746000.0
Q000233,L000431,C0088,2025-06-18,1,2025-06-18,2025-07-18,E102,VND,1.0,Accepted,47906000.0
Q000234,L000434,C0036,2025-07-06,1,2025-07-06,2025-08-05,E101,VND,1.0,Revised,6618000.0
Q000235,L000434,C0036,07-10-2025,2,2025-07-10,2025-08-09,E101,USD,25308.3671,Rejected,52232000.0
Q000236,L000435,C0011,2025-07-24,1,2025-07-24,2025-08-23,E103,VND,1.0,Rejected,33201000.0
Q000237,L000438,C0113,28/09/2025,1,2025-09-28,2025-10-28,E101,USD,25028.0398,Expired,9752000.0
Q000238,L000441,C0002,2025-10-26,1,2025-10-26,2025-11-10,E101,USD,25115.8325,Accepted,4557000.0
Q000239,L000443,C0097,2025-11-03,1,2025-11-03,2025-11-18,E101,VND,1.0,Accepted,20830000.0
Q000240,L000448,C0002,2025-11-23,1,2025-11-23,2025-12-23,E101,VND,1.0,Accepted,91492000.0
Q000241,L000454,C0044,2025-12-16,1,2025-12-16,2025-12-31,E103,VND,1.0,Rejected,179384000.0
Q000242,L000455,C0007,2025-12-19,1,2025-12-19,2026-01-03,E102,VND,1.0,Accepted,6424000.0
Q000243,L000458,C0067,2026-01-05,1,2026-01-05,2026-01-20,E101,USD,25172.9667,Expired,35076000.0
