quotation_line_id,quotation_id,product_id,quantity,unit_price_local,currency,discount_pct,line_net_vnd
QL0000116,Q000061,P006,18,569162.7648,VND,0.0919,9304000.0
QL0000117,Q000061,P001,6,589035.4003,VND,0.0404,3391000.0
QL0000118,Q000062,P002,23,415701.8206,VND,0.0255,9317000.0
QL0000119,Q000063,P002,38,390672.2195,VND,0.0889,13525000.0
QL0000120,Q000063,P006,17,567961.0572,VND,0.0212,9451000.0
QL0000121,Q000064,P003,29,450185.2912,VND,0.0413,12516000.0
QL0000122,Q000064,P001,13,624818.0496,VND,0.0293,7885000.0
QL0000123,Q000065,P002,20,455875.3353,VND,0.0429,8727000.0
QL0000124,Q000066,P002,13,430323.5271,VND,0.0798,5148000.0
QL0000125,Q000067,P002,7,429553.4304,VND,0.0,3007000.0
QL0000126,Q000068,P002,37,444194.1475,VND,0.0837,15059000.0
QL0000127,Q000068,P005,13,601370.0827,VND,0.0552,7387000.0
QL0000128,Q000068,P006,10,535791.0231,VND,0.1274,4675000.0
QL0000129,Q000068,P003,30,423738.8308,VND,0.0154,12516000.0
QL0000130,Q000069,P026,6,5329085.0705,VND,0.0153,31486000.0
QL0000131,Q000070,P026,18,5280597.3902,VND,0.0051,94567000.0
QL0000132,Q000070,P027,19,3906223.237,VND,0.0997,66820000.0
QL0000133,Q000071,P001,13,560610.7852,VND,0.0659,6808000.0
QL0000134,Q000072,P001,16,620645.4862,VND,0.0944,8993000.0
QL0000135,Q000073,P011,70,311052.0424,VND,0.0805,20022000.0
QL0000136,Q000074,P011,139,297076.3988,VND,0.0948,37377000.0
QL0000137,Q000074,P007,58,173799.1476,VND,0.0744,9331000.0
QL0000138,Q000075,P001,16,565794.1133,VND,0.1071,8083000.0
QL0000139,Q000076,P001,48,23.9755,USD,0.0377,28343000.0
QL0000140,Q000076,P004,16,27.8958,USD,0.0852,10449000.0
QL0000141,Q000077,P001,8,630789.6482,VND,0.0594,4747000.0
QL0000142,Q000078,P001,18,586008.3632,VND,0.0667,9845000.0
QL0000143,Q000078,P006,21,533717.3269,VND,0.011,11084000.0
QL0000144,Q000078,P005,42,580918.7497,VND,0.065,22814000.0
QL0000145,Q000079,P004,5,696527.0775,VND,0.017,3423000.0
QL0000146,Q000080,P004,8,664359.3168,VND,0.0112,5255000.0
QL0000147,Q000080,P003,13,433750.8845,VND,0.0688,5251000.0
QL0000148,Q000081,P001,8,567269.2395,VND,0.0439,4339000.0
QL0000149,Q000081,P006,13,584044.3845,VND,0.0747,7025000.0
QL0000150,Q000082,P005,26,636615.0862,VND,0.0321,16020000.0
QL0000151,Q000082,P002,12,396444.6534,VND,0.0839,4358000.0
QL0000152,Q000083,P002,6,433476.6313,VND,0.0908,2365000.0
QL0000153,Q000083,P003,10,437966.3008,VND,0.0437,4188000.0
QL0000154,Q000084,P004,18,700082.8396,VND,0.0677,11749000.0
QL0000155,Q000084,P005,9,598980.6263,VND,0.029,5234000.0
QL0000156,Q000085,P004,27,28.1995,USD,0.0739,17797000.0
QL0000157,Q000086,P001,26,597833.5276,VND,0.1256,13591000.0
QL0000158,Q000087,P001,23,607716.1449,VND,0.0615,13118000.0
QL0000159,Q000088,P014,9,420625.6221,VND,0.0935,3432000.0
QL0000160,Q000088,P013,43,375189.8949,VND,0.0591,15180000.0
QL0000161,Q000088,P012,51,387666.1014,VND,0.114,17517000.0
QL0000162,Q000088,P016,6,474705.9185,VND,0.0709,2646000.0
QL0000163,Q000089,P014,63,378696.5958,VND,0.0735,22103000.0
QL0000164,Q000089,P013,14,333371.7146,VND,0.0563,4405000.0
QL0000165,Q000089,P012,83,378768.4662,VND,0.0759,29053000.0
QL0000166,Q000089,P016,44,477962.4718,VND,0.1067,18787000.0
QL0000167,Q000090,P002,9,426246.6683,VND,0.0322,3713000.0
QL0000168,Q000091,P001,15,23.4476,USD,0.0124,8709000.0
QL0000169,Q000091,P006,22,22.5664,USD,0.0724,11547000.0
QL0000170,Q000092,P003,5,423306.536,VND,0.0266,2060000.0
QL0000171,Q000093,P003,12,17.065,USD,0.0977,4618000.0
QL0000172,Q000094,P003,38,424103.0921,VND,0.0798,14830000.0
QL0000173,Q000094,P001,27,556528.9253,VND,0.0298,14579000.0
QL0000174,Q000095,P003,7,15.6594,USD,0.0153,2710000.0
QL0000175,Q000096,P019,34,285166.4081,VND,0.0228,9474000.0
QL0000176,Q000096,P017,129,217032.3081,VND,0.0544,26473000.0
QL0000177,Q000097,P005,61,24.7007,USD,0.0246,37013000.0
QL0000178,Q000097,P006,10,21.358,USD,0.0592,5060000.0
QL0000179,Q000097,P001,4,24.3677,USD,0.1044,2198000.0
QL0000180,Q000098,P005,19,566623.0685,VND,0.128,9388000.0
QL0000181,Q000099,P004,33,26.839,USD,0.0682,20717000.0
QL0000182,Q000099,P001,15,24.7682,USD,0.0,9327000.0
QL0000183,Q000099,P003,23,16.6069,USD,0.0316,9286000.0
QL0000184,Q000099,P002,22,16.7627,USD,0.0735,8577000.0
QL0000185,Q000100,P009,14,9.1947,USD,0.0645,3023000.0
QL0000186,Q000100,P011,36,12.7826,USD,0.096,10443000.0
QL0000187,Q000101,P001,8,611649.7226,VND,0.0282,4755000.0
QL0000188,Q000101,P005,6,612879.0674,VND,0.0596,3458000.0
QL0000189,Q000102,P001,44,593922.5285,VND,0.0934,23691000.0
QL0000190,Q000103,P002,29,17.5409,USD,0.0927,11744000.0
QL0000191,Q000103,P003,30,16.7146,USD,0.0949,11549000.0
QL0000192,Q000104,P002,19,17.6258,USD,0.0932,7734000.0
QL0000193,Q000105,P001,18,555832.6442,VND,0.104,8964000.0
QL0000194,Q000106,P002,13,453042.1532,VND,0.0508,5590000.0
QL0000195,Q000106,P005,24,623729.6904,VND,0.0934,13571000.0
QL0000196,Q000107,P015,11,128433.4021,VND,0.0225,1381000.0
QL0000197,Q000107,P014,23,413455.2981,VND,0.0429,9101000.0
QL0000198,Q000108,P031,2,21381271.2115,VND,0.0163,42065000.0
QL0000199,Q000108,P028,4,5634185.7521,VND,0.0055,22413000.0
QL0000200,Q000108,P030,3,9546884.2524,VND,0.0041,28522000.0
QL0000201,Q000109,P031,2,764.8782,USD,0.0551,36723000.0
QL0000202,Q000109,P029,6,741.1505,USD,0.049,107445000.0
QL0000203,Q000109,P030,3,392.7188,USD,0.0942,27113000.0
QL0000204,Q000110,P023,15,3562128.6505,VND,0.0,53432000.0
QL0000205,Q000110,P026,25,5063696.6386,VND,0.0267,123217000.0
QL0000206,Q000110,P024,13,4926380.5944,VND,0.0007,64001000.0
QL0000207,Q000110,P022,18,2411404.2337,VND,0.0843,39745000.0
QL0000208,Q000111,P001,24,606995.1814,VND,0.0604,13688000.0
QL0000209,Q000111,P004,25,671888.5145,VND,0.0079,16664000.0
QL0000210,Q000112,P012,44,371380.2515,VND,0.074,15131000.0
QL0000211,Q000113,P003,30,406210.8384,VND,0.0321,11795000.0
QL0000212,Q000114,P003,102,17.0962,USD,0.1078,39618000.0
QL0000213,Q000114,P004,8,25.8702,USD,0.0335,5093000.0
QL0000214,Q000115,P003,14,421572.2623,VND,0.0935,5350000.0
QL0000215,Q000115,P005,11,610334.7269,VND,0.128,5854000.0
QL0000216,Q000116,P001,6,557204.3951,VND,0.0223,3269000.0
QL0000217,Q000117,P020,30,14.5009,USD,0.0635,10404000.0
QL0000218,Q000118,P020,23,14.1901,USD,0.0079,8259000.0
QL0000219,Q000119,P004,71,653163.161,VND,0.0425,44403000.0
QL0000220,Q000119,P003,35,422422.9722,VND,0.045,14120000.0
QL0000221,Q000119,P001,11,596735.6127,VND,0.086,6000000.0
QL0000222,Q000120,P004,21,25.3447,USD,0.0648,12724000.0
QL0000223,Q000120,P002,11,16.7526,USD,0.1065,4209000.0
QL0000224,Q000121,P006,60,23.8474,USD,0.0,36588000.0
QL0000225,Q000121,P003,29,17.5756,USD,0.0169,12813000.0
QL0000226,Q000121,P001,9,22.8353,USD,0.0342,5076000.0
QL0000227,Q000122,P001,15,584015.8323,VND,0.0422,8391000.0
QL0000228,Q000122,P006,11,582423.1658,VND,0.0363,6174000.0
QL0000229,Q000122,P005,15,581561.026,VND,0.0585,8213000.0
QL0000230,Q000123,P001,26,552265.5898,VND,0.091,13052000.0
QL0000231,Q000123,P004,27,667165.1725,VND,0.1374,15538000.0
QL0000232,Q000124,P032,5,18644383.8173,VND,0.0285,90569000.0
QL0000233,Q000125,P024,23,4514304.6791,VND,0.0723,96319000.0
QL0000234,Q000125,P026,53,5192330.1524,VND,0.0132,271556000.0
QL0000235,Q000125,P027,78,3942634.3608,VND,0.0309,298013000.0
QL0000236,Q000126,P001,14,616356.1296,VND,0.0364,8315000.0
QL0000237,Q000126,P006,12,561011.6899,VND,0.0675,6278000.0
QL0000238,Q000126,P004,18,684775.9593,VND,0.0748,11404000.0
QL0000239,Q000127,P025,18,5524390.124,VND,0.0258,96869000.0
QL0000240,Q000128,P003,37,17.2088,USD,0.0274,15709000.0
QL0000241,Q000128,P004,5,29.5731,USD,0.085,3432000.0
QL0000242,Q000129,P003,77,417359.0263,VND,0.0695,29902000.0
QL0000243,Q000130,P017,88,232017.142,VND,0.0846,18691000.0
QL0000244,Q000130,P020,62,401555.8818,VND,0.0,24896000.0
QL0000245,Q000130,P019,26,311400.8973,VND,0.0705,7526000.0
QL0000246,Q000130,P021,122,133231.6137,VND,0.0031,16204000.0
QL0000247,Q000131,P001,10,592301.3277,VND,0.0961,5354000.0
QL0000248,Q000132,P002,19,409417.9319,VND,0.0252,7583000.0
QL0000249,Q000132,P001,10,598886.2946,VND,0.0452,5718000.0
QL0000250,Q000133,P002,38,401496.9153,VND,0.1097,13583000.0
QL0000251,Q000134,P001,29,599426.6475,VND,0.0112,17188000.0
QL0000252,Q000134,P003,68,431741.2616,VND,0.0225,28698000.0
QL0000253,Q000135,P002,24,399230.5041,VND,0.0056,9528000.0
QL0000254,Q000136,P001,24,23.1291,USD,0.0717,13120000.0
QL0000255,Q000136,P006,29,23.9204,USD,0.0711,16407000.0
QL0000256,Q000136,P004,29,28.4176,USD,0.0077,20822000.0
QL0000257,Q000137,P001,91,22.0479,USD,0.0609,48077000.0
QL0000258,Q000138,P001,21,24.3188,USD,0.0502,12393000.0
QL0000259,Q000139,P006,15,570927.3303,VND,0.0306,8302000.0
QL0000260,Q000139,P005,8,583420.4212,VND,0.0369,4495000.0
QL0000261,Q000139,P004,106,706056.2275,VND,0.0712,69517000.0
QL0000262,Q000140,P018,56,325005.9029,VND,0.0129,17966000.0
QL0000263,Q000140,P021,74,136221.8756,VND,0.0057,10023000.0
QL0000264,Q000141,P014,18,396830.9243,VND,0.0844,6540000.0
QL0000265,Q000142,P009,68,235349.0213,VND,0.1087,14264000.0
QL0000266,Q000142,P008,88,404766.0048,VND,0.0432,34079000.0
QL0000267,Q000142,P010,71,390516.4781,VND,0.0361,26725000.0
QL0000268,Q000143,P009,24,241251.1233,VND,0.0675,5399000.0
QL0000269,Q000143,P010,78,366545.4354,VND,0.0995,25746000.0
QL0000270,Q000144,P005,11,592039.8851,VND,0.0016,6502000.0
QL0000271,Q000144,P006,17,545630.9082,VND,0.0205,9086000.0
QL0000272,Q000144,P001,14,620278.6507,VND,0.0,8684000.0
QL0000273,Q000145,P005,18,609216.4148,VND,0.0563,10348000.0
QL0000274,Q000146,P001,20,570413.5958,VND,0.119,10050000.0
QL0000275,Q000146,P006,22,605758.1906,VND,0.0439,12741000.0
QL0000276,Q000147,P001,23,586335.5363,VND,0.1447,11534000.0
QL0000277,Q000147,P002,13,430836.8465,VND,0.0611,5258000.0
QL0000278,Q000148,P001,16,562436.7035,VND,0.0965,8131000.0
QL0000279,Q000149,P015,43,5.34,USD,0.0509,5486000.0
QL0000280,Q000150,P015,49,5.1779,USD,0.1025,5732000.0
QL0000281,Q000151,P015,12,130504.8237,VND,0.1262,1368000.0
QL0000282,Q000151,P014,38,396150.8065,VND,0.1198,13250000.0
QL0000283,Q000151,P016,36,496813.7536,VND,0.1103,15913000.0
QL0000284,Q000151,P013,81,369499.9309,VND,0.0556,28264000.0
QL0000285,Q000152,P001,28,23.8705,USD,0.0824,15331000.0
QL0000286,Q000152,P006,9,22.189,USD,0.0592,4696000.0
QL0000287,Q000153,P003,29,408629.0194,VND,0.046,11305000.0
QL0000288,Q000154,P001,10,22.7767,USD,0.0544,5394000.0
QL0000289,Q000155,P001,11,559741.286,VND,0.0365,5932000.0
QL0000290,Q000156,P001,51,22.9642,USD,0.0844,26942000.0
QL0000291,Q000156,P003,32,17.1673,USD,0.0388,13267000.0
QL0000292,Q000157,P002,13,423504.4786,VND,0.0457,5254000.0
QL0000293,Q000157,P006,20,551815.4866,VND,0.0572,10405000.0
QL0000294,Q000158,P023,28,140.7506,USD,0.0731,91963000.0
QL0000295,Q000159,P004,25,29.4579,USD,0.0767,17153000.0
QL0000296,Q000160,P002,22,442589.8798,VND,0.1061,8704000.0
QL0000297,Q000160,P006,11,539805.0262,VND,0.025,5790000.0
QL0000298,Q000161,P023,6,3888245.0426,VND,0.0785,21498000.0
QL0000299,Q000161,P027,12,3660568.1688,VND,0.0392,42205000.0
QL0000300,Q000162,P004,13,700408.9367,VND,0.0784,8392000.0
QL0000301,Q000163,P004,15,673360.0852,VND,0.0647,9446000.0
QL0000302,Q000164,P013,49,360546.2207,VND,0.0683,16459000.0
QL0000303,Q000164,P014,36,366307.7944,VND,0.061,12383000.0
QL0000304,Q000165,P013,13,362193.5792,VND,0.0525,4461000.0
QL0000305,Q000166,P006,11,23.6553,USD,0.1323,5725000.0
QL0000306,Q000166,P003,11,17.4682,USD,0.088,4444000.0
QL0000307,Q000166,P004,37,27.314,USD,0.078,23629000.0
QL0000308,Q000167,P006,14,547393.0619,VND,0.0954,6933000.0
QL0000309,Q000167,P004,40,689337.3357,VND,0.0822,25308000.0
QL0000310,Q000168,P001,32,587135.0226,VND,0.0322,18183000.0
QL0000311,Q000168,P004,15,704027.0301,VND,0.0769,9749000.0
QL0000312,Q000169,P001,16,22.849,USD,0.0683,8664000.0
QL0000313,Q000169,P005,26,22.1056,USD,0.1307,12710000.0
QL0000314,Q000169,P002,15,17.3982,USD,0.0789,6115000.0
QL0000315,Q000169,P006,16,22.2783,USD,0.0463,8648000.0
QL0000316,Q000170,P006,31,592789.8696,VND,0.0454,17542000.0
QL0000317,Q000170,P001,42,629183.5479,VND,0.0177,25958000.0
QL0000318,Q000171,P001,10,551524.3333,VND,0.0369,5312000.0
QL0000319,Q000172,P001,4,22.991,USD,0.0808,2153000.0
QL0000320,Q000172,P005,75,23.871,USD,0.0884,41571000.0
QL0000321,Q000172,P003,55,15.8092,USD,0.0522,20991000.0
QL0000322,Q000173,P001,13,621215.8715,VND,0.0556,7627000.0
QL0000323,Q000173,P005,18,554370.2175,VND,0.0186,9793000.0
QL0000324,Q000174,P003,40,442362.2615,VND,0.059,16651000.0
QL0000325,Q000175,P003,22,435574.8178,VND,0.0839,8779000.0
QL0000326,Q000176,P003,21,431171.8248,VND,0.1383,7803000.0
QL0000327,Q000176,P004,20,698189.4489,VND,0.0777,12878000.0
QL0000328,Q000177,P010,40,380862.6182,VND,0.0399,14626000.0
QL0000329,Q000178,P004,58,715193.3586,VND,0.0076,41164000.0
QL0000330,Q000178,P001,20,610178.3544,VND,0.1014,10966000.0
QL0000331,Q000179,P005,22,593832.4355,VND,0.0692,12160000.0
QL0000332,Q000180,P005,19,630537.2083,VND,0.0889,10915000.0
QL0000333,Q000181,P003,11,15.5252,USD,0.0312,4214000.0
QL0000334,Q000182,P005,31,575106.9178,VND,0.0991,16062000.0
QL0000335,Q000182,P004,20,695942.4599,VND,0.0768,12849000.0
QL0000336,Q000183,P001,43,560401.2721,VND,0.0239,23522000.0
QL0000337,Q000183,P006,9,544155.7777,VND,0.1167,4326000.0
QL0000338,Q000184,P003,32,430776.194,VND,0.0579,12986000.0
QL0000339,Q000184,P002,11,441516.3191,VND,0.0227,4746000.0
QL0000340,Q000184,P005,30,623591.1443,VND,0.038,17996000.0
QL0000341,Q000184,P006,31,583561.1031,VND,0.0576,17048000.0
QL0000342,Q000185,P011,21,288584.8448,VND,0.1094,5397000.0
QL0000343,Q000186,P005,9,22.597,USD,0.0978,4706000.0
QL0000344,Q000186,P006,64,20.9833,USD,0.0129,33997000.0
QL0000345,Q000187,P005,5,635191.2575,VND,0.0657,2967000.0
QL0000346,Q000187,P003,20,405636.6324,VND,0.0749,7505000.0
QL0000347,Q000187,P004,5,729231.357,VND,0.0581,3434000.0
QL0000348,Q000188,P004,21,675263.9091,VND,0.0698,13190000.0
QL0000349,Q000189,P002,65,403825.7264,VND,0.0286,25498000.0
QL0000350,Q000190,P006,59,544436.2464,VND,0.0501,30512000.0
QL0000351,Q000190,P004,16,693506.5676,VND,0.0,11096000.0
QL0000352,Q000191,P006,26,569201.8765,VND,0.0782,13641000.0
QL0000353,Q000192,P026,29,5112717.6653,VND,0.0703,137844000.0
QL0000354,Q000193,P011,62,11.5222,USD,0.1238,15840000.0
QL0000355,Q000193,P008,139,16.3563,USD,0.1042,51541000.0
QL0000356,Q000194,P010,26,426783.3748,VND,0.0183,10894000.0
QL0000357,Q000194,P011,113,310309.7096,VND,0.075,32436000.0
QL0000358,Q000194,P007,147,178997.4368,VND,0.0401,25259000.0
QL0000359,Q000194,P008,47,368596.0749,VND,0.0724,16070000.0
QL0000360,Q000195,P010,101,406504.8438,VND,0.0805,37752000.0
QL0000361,Q000196,P001,49,614085.4823,VND,0.0472,28669000.0
QL0000362,Q000197,P025,4,5595798.8426,VND,0.1099,19923000.0
QL0000363,Q000197,P027,35,4002003.7518,VND,0.0,140070000.0
QL0000364,Q000197,P022,12,2411983.5461,VND,0.0772,26711000.0
QL0000365,Q000197,P023,14,4035630.3237,VND,0.0372,54397000.0
QL0000366,Q000198,P024,17,4932572.647,VND,0.0913,76199000.0
QL0000367,Q000199,P003,3,409884.1968,VND,0.0869,1123000.0
QL0000368,Q000200,P032,4,18584674.8615,VND,0.0835,68131000.0
QL0000369,Q000201,P001,13,584934.3764,VND,0.1016,6832000.0
QL0000370,Q000201,P003,12,437815.6366,VND,0.026,5117000.0
QL0000371,Q000202,P001,18,556361.0455,VND,0.0608,9406000.0
QL0000372,Q000202,P005,18,565112.7139,VND,0.0712,9448000.0
QL0000373,Q000202,P003,11,444081.5032,VND,0.1142,4327000.0
QL0000374,Q000202,P004,24,679393.1594,VND,0.1141,14444000.0
QL0000375,Q000203,P026,12,4888528.6122,VND,0.0108,58027000.0
QL0000376,Q000203,P022,49,2349156.6744,VND,0.0341,111181000.0
QL0000377,Q000204,P026,19,190.1503,USD,0.0567,86759000.0
QL0000378,Q000205,P026,24,4991493.4083,VND,0.1007,107727000.0
QL0000379,Q000206,P014,38,401398.4042,VND,0.0375,14681000.0
QL0000380,Q000206,P016,26,519370.7204,VND,0.0819,12398000.0
QL0000381,Q000206,P015,66,123592.3484,VND,0.0538,7718000.0
QL0000382,Q000207,P001,31,602504.2359,VND,0.018,18342000.0
QL0000383,Q000207,P004,27,661592.1762,VND,0.0774,16481000.0
QL0000384,Q000208,P002,29,420679.3338,VND,0.0682,11368000.0
QL0000385,Q000208,P006,23,542544.5642,VND,0.0496,11860000.0
QL0000386,Q000209,P016,19,509050.299,VND,0.0,9672000.0
QL0000387,Q000209,P013,27,350859.5163,VND,0.0368,9124000.0
QL0000388,Q000210,P001,58,625431.7972,VND,0.0551,34275000.0
QL0000389,Q000211,P001,27,613788.2036,VND,0.0669,15464000.0
