date,campaign_id,channel,impressions,clicks,sessions,spend_vnd,leads_reported,source_platform
2025-02-19,MC001,Google Ads,449,22,23,274000.0,0,GA4
2025-02-20,MC001,Google Ads,357,18,17,295000.0,0,CRM
2025-02-21,MC001,Google Ads,423,19,20,285000.0,0,CRM
2025-02-22,MC001,Google Ads,77,3,4,41000.0,0,Google Ads
2025-02-23,MC001,Google Ads,157,7,8,114000.0,0,Google Ads
2025-02-24,MC001,Google Ads,426,17,19,277000.0,0,Meta
2025-02-25,MC001,Google Ads,356,19,20,242000.0,0,CRM
2025-02-26,MC001,Google Ads,370,19,17,287000.0,0,Meta
2025-02-27,MC001,Google Ads,268,15,18,243000.0,1,GA4
2025-02-28,MC001,Google Ads,283,13,14,213000.0,0,CRM
2025-03-01,MC001,Google Ads,192,11,12,173000.0,1,GA4
2025-03-02,MC001,Google Ads,143,9,8,150000.0,0,GA4
2025-03-03,MC001,Google Ads,463,26,28,371000.0,1,GA4
2025-03-04,MC001,Google Ads,463,25,26,309000.0,0,CRM
2025-03-05,MC001,Google Ads,443,23,24,347000.0,0,CRM
2025-03-06,MC001,Google Ads,492,26,25,356000.0,0,Google Ads
2025-03-07,MC001,Google Ads,667,34,30,541000.0,1,Google Ads
2025-03-08,MC001,Google Ads,227,11,11,135000.0,0,CRM
2025-03-09,MC001,Google Ads,240,13,13,167000.0,0,GA4
2025-03-10,MC001,Google Ads,547,34,30,550000.0,2,Manual
2025-03-11,MC001,Google Ads,395,21,19,269000.0,2,CRM
2025-03-12,MC001,Google Ads,576,29,29,349000.0,0,CRM
2025-03-13,MC001,Google Ads,367,18,21,231000.0,0,Google Ads
2025-03-14,MC001,Google Ads,568,35,29,440000.0,1,Meta
2025-03-15,MC001,Google Ads,160,7,8,120000.0,1,GA4
2025-03-16,MC001,Paid Search,177,11,12,141000.0,0,Meta
2025-03-17,MC001,Google Ads,507,25,23,303000.0,0,Google Ads
2025-03-18,MC001,Google Ads,646,28,31,429000.0,0,GA4
2025-03-19,MC001,Google Ads,431,24,23,368000.0,1,GA4
2025-03-20,MC001,Google Ads,654,32,28,469000.0,0,Manual
2025-03-21,MC001,Google Ads,504,26,30,320000.0,0,Manual
2025-03-22,MC001,Google Ads,171,10,11,154000.0,1,Google Ads
2025-03-23,MC001,Google Ads,137,7,8,117000.0,0,GA4
2025-03-24,MC001,Google Ads,513,30,30,383000.0,1,Google Ads
2025-03-25,MC001,Google Ads,617,28,25,377000.0,0,GA4
2025-03-26,MC001,Google ads,626,30,26,403000.0,0,Google Ads
2025-03-27,MC001,Google Ads,507,27,28,405000.0,0,Manual
2025-03-28,MC001,Google Ads,480,26,24,314000.0,1,GA4
2025-03-29,MC001,Google Ads,264,10,12,151000.0,0,Meta
2025-03-30,MC001,Google Ads,145,7,9,87000.0,0,Google Ads
2025-03-31,MC001,Google Ads,462,25,26,341000.0,0,Google Ads
2025-04-01,MC001,Google ads,422,23,24,326000.0,1,GA4
2025-04-02,MC001,google ppc,596,33,30,469000.0,2,CRM
2025-04-03,MC001,Google Ads,176,10,12,121000.0,1,CRM
2025-04-04,MC001,Google Ads,437,21,19,351000.0,0,CRM
2025-04-05,MC001,Google Ads,213,10,11,154000.0,0,Google Ads
2025-04-06,MC001,Google Ads,154,9,9,113000.0,0,CRM
2025-04-07,MC001,Google Ads,429,21,24,332000.0,1,GA4
2025-04-08,MC001,Google Ads,426,21,22,252000.0,0,GA4
2025-04-09,MC001,Paid Search,400,22,20,264000.0,3,CRM
2025-04-10,MC001,Google Ads,654,32,32,457000.0,0,Manual
2025-04-11,MC001,Google Ads,435,22,23,307000.0,0,Manual
2025-04-12,MC001,Google Ads,156,9,9,123000.0,0,CRM
2025-04-13,MC001,Google Ads,384,24,24,337000.0,0,Manual
2025-04-14,MC001,Google Ads,444,21,20,338000.0,0,GA4
2025-04-15,MC001,Google Ads,501,22,25,265000.0,0,CRM
2025-04-16,MC001,Google Ads,392,22,23,363000.0,0,Manual
2025-04-17,MC001,Google Ads,643,32,28,464000.0,0,Manual
2025-04-18,MC001,Paid Search,395,23,25,332000.0,0,Manual
2025-04-19,MC001,Google Ads,125,8,8,106000.0,0,GA4
2025-04-20,MC001,Google Ads,93,5,5,72000.0,0,CRM
2025-04-21,MC001,Google ads,580,29,28,486000.0,1,Manual
2025-04-22,MC001,Google Ads,706,30,27,383000.0,1,GA4
2025-04-23,MC001,Google Ads,320,21,18,314000.0,0,CRM
2025-04-24,MC001,Google Ads,567,27,26,381000.0,1,CRM
2025-04-25,MC001,Google Ads,303,14,17,203000.0,0,CRM
2025-04-26,MC001,Google Ads,151,10,9,173000.0,1,Google Ads
2025-04-27,MC001,Google Ads,153,7,8,101000.0,0,Google Ads
2025-04-28,MC001,Google Ads,423,19,19,311000.0,1,Manual
2025-04-29,MC001,Google Ads,387,18,21,313000.0,0,GA4
2025-04-30,MC001,Google Ads,514,26,28,355000.0,1,GA4
2025-05-01,MC001,Google Ads,489,24,23,373000.0,0,Manual
2025-05-02,MC001,Google Ads,212,13,14,171000.0,0,Google Ads
2025-05-03,MC001,Google Ads,161,10,10,134000.0,0,Google Ads
2025-05-04,MC001,Google Ads,137,7,8,116000.0,1,Meta
2025-05-05,MC001,Google Ads,372,18,19,282000.0,2,Google Ads
2025-05-06,MC001,Google Ads,419,22,24,269000.0,0,Google Ads
2025-05-07,MC001,Google Ads,301,18,19,231000.0,0,Google Ads
2025-05-08,MC001,Google Ads,265,13,14,185000.0,0,Google Ads
2025-05-09,MC001,Google Ads,555,33,34,536000.0,0,CRM
2025-05-10,MC001,Google Ads,167,10,9,136000.0,0,CRM
2025-05-11,MC001,Google Ads,134,6,7,82000.0,0,GA4
2025-05-12,MC001,Google Ads,485,28,30,407000.0,0,GA4
2025-05-13,MC001,Google Ads,452,22,25,362000.0,0,Manual
2025-05-14,MC001,Google Ads,384,22,22,292000.0,1,GA4
2025-05-15,MC001,Google Ads,341,18,18,255000.0,0,Google Ads
2025-05-16,MC001,Google Ads,461,20,19,330000.0,1,Google Ads
2025-05-17,MC001,Google Ads,160,7,9,107000.0,0,Meta
2025-05-18,MC001,Google Ads,188,11,12,154000.0,0,Google Ads
2025-05-19,MC001,Google Ads,506,28,25,353000.0,0,CRM
2025-05-20,MC001,Google Ads,313,16,18,199000.0,0,CRM
2025-05-21,MC001,Google Ads,438,23,25,371000.0,0,GA4
2025-05-22,MC001,Google Ads,818,37,35,444000.0,0,Manual
2025-05-23,MC001,Google Ads,496,28,31,367000.0,0,GA4
2025-05-24,MC001,Google Ads,191,8,8,129000.0,0,GA4
2025-05-25,MC001,Google Ads,144,7,9,88000.0,0,CRM
2025-05-26,MC001,Google Ads,424,17,18,289000.0,1,GA4
2025-05-27,MC001,Google Ads,461,27,23,431000.0,0,Google Ads
2025-05-28,MC001,Google Ads,681,38,34,591000.0,1,GA4
2025-05-29,MC001,Google Ads,417,23,21,378000.0,0,CRM
2025-05-30,MC001,Google Ads,386,24,24,399000.0,0,CRM
2025-05-31,MC001,Google Ads,146,7,7,116000.0,0,Manual
2025-06-01,MC001,Google Ads,234,11,10,186000.0,0,GA4
2025-06-02,MC001,Google Ads,515,23,24,369000.0,0,Meta
2025-06-03,MC001,Google Ads,239,15,15,255000.0,1,GA4
2025-06-04,MC001,Google Ads,523,25,28,411000.0,0,Google Ads
2025-06-05,MC001,Google Ads,593,33,33,511000.0,1,Meta
2025-06-06,MC001,Google Ads,468,30,26,447000.0,0,CRM
2025-06-07,MC001,Google ads,81,5,5,60000.0,0,GA4
2025-06-08,MC001,Google Ads,98,6,6,101000.0,0,Google Ads
2025-06-09,MC001,Google Ads,495,21,20,302000.0,0,Manual
2025-06-10,MC001,Google Ads,331,16,17,276000.0,0,Google Ads
2025-06-11,MC001,Google Ads,561,24,25,335000.0,0,Manual
2025-06-12,MC001,Google Ads,213,13,15,223000.0,0,Google Ads
2025-06-13,MC001,Google Ads,358,22,26,279000.0,1,Manual
2025-06-14,MC001,GAds,192,12,12,169000.0,0,GA4
2025-06-15,MC001,Google Ads,98,5,5,74000.0,0,Google Ads
2025-06-16,MC001,Google Ads,442,19,18,239000.0,0,GA4
2025-06-17,MC001,Google Ads,347,19,19,247000.0,0,GA4
2025-06-18,MC001,Google Ads,487,23,21,314000.0,0,GA4
2025-06-19,MC001,Google Ads,419,25,23,307000.0,0,GA4
06-20-2025,MC001,Google Ads,359,16,19,247000.0,0,Meta
2025-06-21,MC001,Google Ads,85,4,4,59000.0,0,Manual
2025-06-22,MC001,Google Ads,260,14,13,198000.0,1,Google Ads
2025-06-23,MC001,Google Ads,310,17,16,286000.0,0,Meta
2025-06-24,MC001,Google Ads,521,29,27,378000.0,2,GA4
2025-06-25,MC001,Google Ads,612,33,28,517000.0,1,Meta
2025-06-26,MC001,Google Ads,328,18,16,292000.0,0,GA4
2025-06-27,MC001,Google Ads,483,21,22,304000.0,0,Meta
2025-06-28,MC001,Google Ads,230,13,15,207000.0,1,Google Ads
2025-06-29,MC001,Google Ads,264,14,13,242000.0,1,GA4
2025-06-30,MC001,Google Ads,381,20,23,275000.0,0,GA4
2025-07-01,MC001,Google Ads,303,15,14,231000.0,0,CRM
2025-07-02,MC001,Google Ads,351,19,20,269000.0,0,Meta
2025-07-03,MC001,Google Ads,385,22,20,278000.0,0,GA4
2025-07-04,MC001,Google Ads,672,27,28,323000.0,0,Manual
2025-07-05,MC001,Google Ads,147,7,8,103000.0,0,CRM
2025-07-06,MC001,Google Ads,206,11,11,136000.0,0,GA4
2025-07-07,MC001,Google Ads,442,29,27,454000.0,0,GA4
2025-07-08,MC001,Google Ads,465,27,23,373000.0,0,GA4
2025-07-09,MC001,Google Ads,572,29,25,425000.0,0,Manual
2025-07-10,MC001,Google Ads,662,35,32,487000.0,1,Manual
2025-07-11,MC001,Google Ads,610,28,27,339000.0,0,Manual
2025-07-12,MC001,Google Ads,175,11,10,186000.0,0,GA4
2025-07-13,MC001,Google Ads,191,9,9,119000.0,1,Google Ads
14/07/2025,MC001,Google Ads,258,16,16,200000.0,1,Meta
2025-07-15,MC001,Google Ads,368,25,22,398000.0,0,Google Ads
2025-07-16,MC001,Google Ads,523,26,25,439000.0,0,Meta
2025-07-17,MC001,Google Ads,312,20,19,310000.0,0,GA4
2025-07-18,MC001,Google Ads,399,18,16,261000.0,0,Google Ads
2025-07-19,MC001,Google Ads,181,8,8,118000.0,1,CRM
2025-07-20,MC001,Google Ads,254,16,15,254000.0,0,Meta
2025-07-21,MC001,GAds,332,17,17,244000.0,1,CRM
2025-07-22,MC001,Google Ads,521,28,24,444000.0,1,CRM
2025-07-23,MC001,Google Ads,475,21,20,282000.0,0,GA4
2025-07-24,MC001,Google Ads,369,15,17,192000.0,0,GA4
2025-07-25,MC001,Google Ads,272,17,18,222000.0,1,Manual
2025-07-26,MC001,Google Ads,127,6,7,82000.0,0,GA4
2025-07-27,MC001,Google Ads,307,19,16,303000.0,0,GA4
2025-07-28,MC001,Google Ads,359,22,20,339000.0,1,Google Ads
2025-07-29,MC001,Google Ads,587,30,32,366000.0,1,CRM
2025-07-30,MC001,Google Ads,432,25,24,414000.0,0,Meta
2025-07-31,MC001,Google Ads,550,29,31,428000.0,1,GA4
2025-08-01,MC001,Google Ads,431,23,24,322000.0,0,Meta
2025-08-02,MC001,Google Ads,76,4,5,57000.0,1,Google Ads
2025-08-03,MC001,google ppc,168,8,9,131000.0,0,Meta
2025-08-04,MC001,Google Ads,367,17,20,218000.0,1,Manual
2025-08-05,MC001,Paid Search,560,25,27,330000.0,0,GA4
2025-08-06,MC001,Google Ads,453,23,26,285000.0,0,CRM
2025-08-07,MC001,Google Ads,430,21,20,321000.0,0,CRM
2025-08-08,MC001,Google Ads,357,19,21,285000.0,0,Meta
2025-08-09,MC001,Google Ads,205,11,9,186000.0,1,Manual
2025-08-10,MC001,Google Ads,242,14,15,221000.0,1,Meta
2025-08-11,MC001,Google Ads,437,27,26,404000.0,0,Google Ads
2025-08-12,MC001,Google Ads,460,23,20,289000.0,0,CRM
2025-08-13,MC001,Google Ads,502,24,30,417000.0,0,Meta
2025-08-14,MC001,Google Ads,571,30,31,462000.0,0,GA4
2025-08-15,MC001,Google Ads,351,21,23,360000.0,0,Meta
2025-08-16,MC001,Google Ads,75,4,5,69000.0,0,Manual
2025-08-17,MC001,Google Ads,107,6,6,81000.0,0,GA4
2025-08-18,MC001,Google Ads,381,23,25,397000.0,0,GA4
2025-08-19,MC001,Google Ads,258,15,18,247000.0,1,GA4
2025-08-20,MC001,Google Ads,401,22,24,296000.0,0,CRM
2025-08-21,MC001,Google Ads,401,19,18,312000.0,0,Manual
2025-08-22,MC001,Google Ads,573,32,37,398000.0,0,GA4
2025-08-23,MC001,Google Ads,193,10,11,172000.0,0,Meta
2025-08-24,MC001,Google Ads,302,15,14,208000.0,0,Manual
2025-08-25,MC001,Google Ads,428,19,21,304000.0,0,GA4
2025-08-26,MC001,Google Ads,519,28,24,450000.0,0,Manual
2025-08-27,MC001,Google Ads,636,27,29,420000.0,0,Google Ads
2025-08-28,MC001,Google Ads,402,22,21,322000.0,0,CRM
2025-08-29,MC001,Paid Search,441,25,25,338000.0,0,GA4
2025-08-30,MC001,Google Ads,232,13,12,157000.0,0,Meta
2025-08-31,MC001,Google Ads,96,5,6,61000.0,0,GA4
2025-09-01,MC001,Google Ads,490,26,26,340000.0,0,Google Ads
2025-09-02,MC001,Google Ads,219,12,14,203000.0,0,Manual
2025-09-03,MC001,Google Ads,386,26,22,382000.0,0,Manual
2025-09-04,MC001,Google Ads,282,15,18,239000.0,0,Meta
2025-09-05,MC001,Google Ads,545,30,27,377000.0,0,Google Ads
2025-09-06,MC001,Google Ads,85,5,6,85000.0,0,GA4
2025-09-07,MC001,Paid Search,207,11,12,151000.0,0,Manual
2025-09-08,MC001,Google Ads,605,30,29,363000.0,0,CRM
2025-09-09,MC001,Google Ads,432,22,21,276000.0,2,Meta
2025-09-10,MC001,Google Ads,434,24,26,311000.0,1,GA4
2025-09-11,MC001,Google Ads,466,20,23,326000.0,0,Manual
2025-09-12,MC001,Google Ads,525,30,26,390000.0,0,Google Ads
2025-09-13,MC001,Google Ads,236,13,12,212000.0,1,Google Ads
2025-09-14,MC001,Google Ads,259,15,14,202000.0,0,Google Ads
2025-09-15,MC001,Google Ads,339,18,17,303000.0,0,Google Ads
2025-09-16,MC001,Google Ads,849,43,36,689000.0,0,Manual
2025-09-17,MC001,Google Ads,425,22,19,336000.0,1,Meta
2025-09-18,MC001,Google Ads,309,14,14,184000.0,1,Manual
2025-09-19,MC001,Google Ads,376,17,19,256000.0,0,GA4
2025-09-20,MC001,Google Ads,310,16,17,257000.0,0,Meta
2025-09-21,MC001,Google Ads,172,9,8,148000.0,1,Google Ads
2025-09-22,MC001,Google Ads,472,23,25,353000.0,1,GA4
2025-09-23,MC001,Google Ads,611,32,28,467000.0,0,GA4
2025-09-24,MC001,Google Ads,583,28,28,356000.0,0,Meta
2025-09-25,MC001,Google Ads,521,20,20,344000.0,0,Google Ads
2025-09-26,MC001,Google Ads,352,21,25,313000.0,0,GA4
2025-09-27,MC001,Google Ads,162,8,7,108000.0,0,Manual
2025-09-28,MC001,Google Ads,95,5,6,79000.0,0,CRM
2025-09-29,MC001,Google Ads,539,30,30,450000.0,1,CRM
2025-09-30,MC001,Google Ads,353,20,19,279000.0,0,CRM
2025-10-01,MC001,Google Ads,589,34,34,497000.0,0,GA4
2025-10-02,MC001,Google Ads,441,23,23,382000.0,0,CRM
2025-10-03,MC001,Google Ads,738,37,33,470000.0,1,CRM
2025-10-04,MC001,Google Ads,253,14,15,191000.0,2,Manual
2025-10-05,MC001,Google Ads,174,8,8,106000.0,0,CRM
2025-10-06,MC001,Google Ads,379,21,22,334000.0,0,Manual
2025-10-07,MC001,Google Ads,594,32,32,554000.0,0,CRM
08/10/2025,MC001,Google Ads,675,35,34,430000.0,1,Meta
2025-10-09,MC001,Google Ads,485,29,25,371000.0,2,GA4
2025-10-10,MC001,Google Ads,598,31,33,481000.0,1,GA4
2025-10-11,MC001,Google Ads,233,10,10,164000.0,0,CRM
2025-10-12,MC001,Google Ads,262,13,12,188000.0,0,CRM
2025-10-13,MC001,Google Ads,525,32,32,411000.0,0,Manual
2025-10-14,MC001,Google Ads,542,31,31,385000.0,0,Google Ads
2025-10-15,MC001,Google Ads,518,28,32,366000.0,0,GA4
2025-10-16,MC001,Google Ads,567,32,31,466000.0,1,Google Ads
2025-10-17,MC001,Google Ads,514,29,32,470000.0,1,GA4
2025-10-18,MC001,Google Ads,98,6,7,98000.0,1,Manual
2025-10-19,MC001,Google Ads,400,19,19,266000.0,0,GA4
2025-10-20,MC001,Google Ads,428,29,28,495000.0,1,GA4
2025-10-21,MC001,Google Ads,622,30,34,373000.0,0,Google Ads
2025-10-22,MC001,Google Ads,588,27,27,421000.0,1,Google Ads
2025-10-23,MC001,Google Ads,662,31,33,376000.0,0,CRM
2025-10-24,MC001,Google Ads,675,38,34,473000.0,1,CRM
2025-10-25,MC001,Google Ads,184,8,10,126000.0,0,Google Ads
2025-10-26,MC001,Google Ads,272,14,13,216000.0,1,Manual
2025-10-27,MC001,Google Ads,455,25,25,352000.0,0,CRM
2025-10-28,MC001,Google Ads,604,29,28,498000.0,1,Meta
10-29-2025,MC001,Google Ads,647,28,29,414000.0,1,GA4
2025-10-30,MC001,Google Ads,637,29,28,444000.0,1,Google Ads
2025-10-31,MC001,Google Ads,590,23,27,363000.0,0,Google Ads
2025-11-01,MC001,Google Ads,245,13,12,186000.0,0,Meta
2025-11-02,MC001,Google Ads,173,9,9,118000.0,0,Manual
2025-11-03,MC001,Google Ads,409,27,23,429000.0,0,Manual
2025-11-04,MC001,Google Ads,751,41,38,706000.0,0,CRM
2025-11-05,MC001,Google Ads,703,35,32,594000.0,0,CRM
2025-11-06,MC001,Google Ads,589,31,31,393000.0,1,GA4
2025-11-07,MC001,Google Ads,560,27,28,449000.0,0,Manual
2025-11-08,MC001,Google Ads,299,14,14,224000.0,0,GA4
2025-11-09,MC001,Paid Search,128,7,8,98000.0,0,CRM
2025-11-10,MC001,Paid Search,699,39,34,567000.0,0,CRM
2025-11-11,MC001,Google Ads,559,26,30,332000.0,0,Meta
2025-11-12,MC001,Google Ads,774,39,33,538000.0,0,GA4
2025-11-13,MC001,Paid Search,557,31,29,518000.0,1,Google Ads
2025-11-14,MC001,Google Ads,489,28,26,458000.0,0,Meta
2025-11-15,MC001,Google Ads,146,7,7,113000.0,0,Manual
2025-11-16,MC001,Google Ads,235,12,11,143000.0,1,CRM
2025-11-17,MC001,Google Ads,477,27,24,325000.0,0,GA4
2025-11-18,MC001,Google Ads,881,47,42,738000.0,1,CRM
2025-11-19,MC001,Google Ads,1015,42,37,609000.0,0,Google Ads
2025-11-20,MC001,Google Ads,627,34,30,427000.0,0,GA4
2025-11-21,MC001,Google Ads,663,28,28,375000.0,1,GA4
2025-11-22,MC001,Google Ads,294,12,11,208000.0,1,GA4
2025-11-23,MC001,Google Ads,177,8,10,97000.0,0,GA4
2025-11-24,MC001,Google Ads,250,13,15,224000.0,1,GA4
2025-11-25,MC001,Google Ads,407,19,20,279000.0,1,GA4
2025-11-26,MC001,Google Ads,271,18,16,281000.0,0,Meta
2025-11-27,MC001,Google Ads,396,24,25,388000.0,0,Meta
2025-11-28,MC001,Google Ads,553,23,26,284000.0,1,CRM
2025-11-29,MC001,Google Ads,355,18,17,292000.0,0,Meta
2025-11-30,MC001,Google Ads,197,12,12,166000.0,1,Meta
2025-12-01,MC001,Google Ads,396,21,21,252000.0,0,Manual
2025-12-02,MC001,Google Ads,547,27,28,358000.0,1,CRM
2025-12-03,MC001,Google Ads,461,22,27,317000.0,1,Manual
2025-12-04,MC001,Google Ads,509,27,26,454000.0,1,CRM
2025-12-05,MC001,Google Ads,403,25,25,341000.0,0,GA4
2025-12-06,MC001,Google Ads,123,6,7,81000.0,0,GA4
2025-12-07,MC001,Google Ads,217,10,11,136000.0,0,GA4
2025-12-08,MC001,Google Ads,438,21,23,279000.0,0,GA4
2025-12-09,MC001,Google Ads,444,24,22,301000.0,1,CRM
2025-12-10,MC001,Google Ads,452,28,28,346000.0,1,GA4
2025-12-11,MC001,Google Ads,461,29,30,424000.0,1,CRM
2025-12-12,MC001,Google Ads,519,26,22,440000.0,1,CRM
2025-12-13,MC001,Google Ads,130,6,8,89000.0,0,GA4
2025-12-14,MC001,Google Ads,168,9,11,154000.0,0,GA4
2025-12-15,MC001,Google Ads,576,30,32,493000.0,0,CRM
2025-12-16,MC001,Google Ads,364,17,18,210000.0,0,CRM
2025-12-17,MC001,Google Ads,672,33,27,512000.0,0,GA4
2025-12-18,MC001,Google Ads,450,30,28,510000.0,0,GA4
2025-12-19,MC001,Google Ads,253,10,13,166000.0,0,Manual
2025-12-20,MC001,Google Ads,190,7,8,104000.0,0,GA4
2025-12-21,MC001,Google Ads,311,16,14,193000.0,0,GA4
2025-12-22,MC001,Google Ads,500,24,27,300000.0,2,CRM
2025-12-23,MC001,Google Ads,498,31,33,461000.0,0,GA4
2025-12-24,MC001,Google Ads,432,24,25,377000.0,0,GA4
2025-12-25,MC001,Google Ads,438,25,26,362000.0,0,Google Ads
2025-12-26,MC001,Google Ads,807,28,30,405000.0,1,GA4
2025-12-27,MC001,Google Ads,349,18,16,219000.0,0,Google Ads
2025-12-28,MC001,Google Ads,202,12,11,157000.0,0,Manual
2025-12-29,MC001,Google Ads,625,30,30,436000.0,0,GA4
2025-12-30,MC001,Google Ads,454,26,28,401000.0,0,CRM
2025-12-31,MC001,Google Ads,542,27,28,350000.0,1,GA4
2026-01-01,MC001,Google Ads,384,21,22,327000.0,0,GA4
2026-01-02,MC001,Google Ads,567,27,27,452000.0,0,Google Ads
2026-01-03,MC001,Google Ads,199,10,11,133000.0,0,Google Ads
2026-01-04,MC001,Google Ads,191,11,12,143000.0,0,GA4
2026-01-05,MC001,Google Ads,413,20,18,240000.0,0,Google Ads
2026-01-06,MC001,Google Ads,267,15,15,223000.0,1,GA4
2026-01-07,MC001,Google Ads,695,31,28,413000.0,0,GA4
2026-01-08,MC001,GAds,473,22,23,265000.0,0,Meta
2026-01-09,MC001,Google Ads,244,17,19,246000.0,1,CRM
2026-01-10,MC001,Google Ads,342,13,14,162000.0,1,Manual
2026-01-11,MC001,Google Ads,202,9,9,112000.0,0,GA4
2026-01-12,MC001,Google Ads,285,16,17,264000.0,0,Manual
2026-01-13,MC001,Google Ads,650,29,27,367000.0,0,GA4
2026-01-14,MC001,Google Ads,664,33,30,497000.0,1,Google Ads
2026-01-15,MC001,Google Ads,497,24,23,398000.0,0,CRM
2026-01-16,MC001,Paid Search,338,16,15,257000.0,1,Google Ads
2026-01-17,MC001,Google Ads,307,14,13,213000.0,1,GA4
2026-01-18,MC001,Google Ads,273,14,15,175000.0,0,GA4
2026-01-19,MC001,Google Ads,801,33,30,485000.0,0,GA4
2026-01-20,MC001,Google Ads,460,24,22,372000.0,0,Manual
2026-01-21,MC001,Google Ads,303,18,18,262000.0,0,GA4
2026-01-22,MC001,GAds,262,15,16,239000.0,0,GA4
2026-01-23,MC001,Google Ads,511,25,23,382000.0,1,GA4
2026-01-24,MC001,Google Ads,59,3,3,39000.0,0,GA4
2026-01-25,MC001,Google Ads,127,6,7,93000.0,0,CRM
2026-01-26,MC001,Google Ads,353,21,24,335000.0,0,Meta
2026-01-27,MC001,Google Ads,378,22,25,371000.0,0,GA4
2026-01-28,MC001,Google Ads,447,32,28,515000.0,0,Google Ads
2026-01-29,MC001,Paid Search,901,27,25,362000.0,0,GA4
2026-01-30,MC001,Google Ads,396,23,20,351000.0,0,Meta
2026-01-31,MC001,Google Ads,133,8,9,106000.0,1,GA4
2026-02-01,MC001,Google Ads,80,4,5,48000.0,0,Google Ads
2026-02-02,MC001,Google Ads,415,21,19,322000.0,1,GA4
2026-02-03,MC001,Google Ads,326,16,17,240000.0,1,Meta
04/02/2026,MC001,Google Ads,256,14,14,206000.0,0,CRM
2026-02-05,MC001,Google Ads,160,8,9,121000.0,0,CRM
2026-02-06,MC001,Google Ads,294,13,16,204000.0,1,GA4
2026-02-07,MC001,GAds,108,6,6,87000.0,0,GA4
2026-02-08,MC001,Google Ads,217,11,11,151000.0,0,Manual
2026-02-09,MC001,Google Ads,530,24,25,318000.0,1,GA4
